learner_id,learner_name,grade,class_group
69,Anna Henderson,9,9D
70,Aaron Wise,8,8C
71,Deborah Figueroa,12,12B
72,Jessica Smith,12,12A
73,Stephen Mckee,10,10E
74,Sandra Aguilar,12,12B
75,Cameron Parker,9,9C
76,Rebecca Valencia,9,9E
77,Christine Wright,12,12A
78,Richard Henson,12,12C
79,Marc Moore,11,11A
80,Sharon Cherry,8,8C
81,Sierra Johnson,10,10B
82,Evelyn Galvan,8,8B
83,Sharon Cochran,12,12A
84,Richard Rodriguez,8,8D
85,Shannon Walker,8,8E
86,Julia Torres,9,9B
87,Crystal Johnson,11,11E
88,Garrett Lin,9,9C
89,Diana May,12,12E
90,William Herrera,11,11B
91,Ashley Waller,12,12B
92,Victor Baker,10,10D
93,Jeffrey Chandler,10,10D
94,Larry Dixon,12,12D
95,Kenneth Scott,8,8B
96,April Frost,9,9A
97,Michelle Harmon,10,10A
98,Helen Jones,12,12E
99,Erin Edwards,9,9E
100,Michelle Evans,9,9A
101,Jason Powell,8,8A
102,Cameron Fisher,9,9A
103,Megan Orr,8,8C
104,Elizabeth Kelley,8,8E
105,Dustin Jordan,9,9C
106,Mary Marshall,11,11B
107,Daniel Kennedy,12,12B
108,Rebecca Jackson,12,12E
109,Jose Schultz,11,11B
110,Robert Potter,11,11D
111,Courtney Gonzalez,9,9A
112,David Alvarez,8,8D
113,Angel Perry,10,10D
114,Cheyenne Horton,11,11D
115,David Douglas Jr.,8,8A
116,Patricia Rodriguez,8,8D
117,Christopher Rubio,10,10A
118,Amber Wright,9,9B
119,Joyce Solis,9,9E
120,Victoria Larson,11,11B
121,Stephanie Salazar,11,11B
122,Kathy Rivas,10,10D
123,Stephanie Manning,9,9A
124,David Wright,11,11E
125,Pamela Boyd,8,8A
126,Denise Jones,12,12A
127,Devon Flores,8,8B
128,Brenda Hall,9,9D
129,Michelle Brown,11,11D
130,Joshua Perry,9,9D
131,Jason Stein,8,8B
132,Melissa Gates,11,11A
133,Jamie Smith,11,11C
134,Paul Castaneda,11,11C
135,Jennifer Adkins,11,11E
136,Lindsey Walker,11,11B
137,Jeffrey Johnson,9,9C
138,Michael Powell,9,9A
139,John Anderson,12,12E
140,Alyssa Long,8,8C
141,Alyssa Day,8,8A
142,Joel Williams,12,12D
143,Daniel Murphy,12,12E
144,Jamie Walton,9,9A
145,Darlene Miller,12,12A
146,Joshua Cooke,9,9A
147,Matthew Harrington,12,12A
148,Nicole Herring,9,9D
149,Alex Hernandez,8,8E
150,Michael Elliott,9,9E
151,Michael Wang,12,12A
152,Lawrence Adkins,12,12A
153,Robert Oconnell,11,11E
154,Alexander Collins,12,12E
155,Tina Sanders,10,10C
156,Angela Vaughn,9,9C
157,Ashley Barton,9,9C
158,Lindsay Martinez,11,11B
159,Dr. Hannah Patterson,10,10D
160,Jonathan Peterson,10,10A
161,Samantha Garcia,8,8D
162,Madison Poole,12,12E
163,Jessica Gross,8,8A
164,Debra Morton,12,12B
165,Karen Graham,12,12C
166,Debra Christian,9,9C
167,Angelica Keith,8,8B
168,John Bishop,10,10C
169,Allen Rosales,9,9D
170,Daniel Salinas,12,12C
171,Spencer Haynes,12,12E
172,Adam Vaughan,8,8E
173,Nathan Freeman,10,10A
174,Melissa Brewer,9,9C
175,Ricky Davis II,8,8A
176,Elizabeth Perkins,12,12B
177,Joseph Coleman,10,10C
178,Erin Warner,12,12B
179,David Martinez,10,10B
180,Bryan Herrera,10,10E
181,Cathy Robinson,11,11C
182,Dr. William Warren,8,8A
183,Brian Lee,11,11C
184,Christopher Smith,8,8A
185,Denise Mccann,10,10B
186,Melissa Martinez,10,10B
187,Katherine Salas,11,11E
188,Julie Alexander,11,11E
189,Anthony Everett,8,8A
190,Rodney Morales,8,8B
191,Mark Brown,12,12A
192,Justin Torres,10,10E
193,Bailey Duran DDS,12,12B
194,Courtney Mills,11,11B
195,Jeremy Dalton,8,8C
196,Elizabeth Oliver DDS,10,10A
197,Theresa Clark,10,10B
198,Matthew Moore,9,9A
199,Benjamin Smith,10,10E
200,Kirk Carter,11,11E
201,Michael Warner,9,9B
202,Michael Bradshaw,9,9B
203,Lori Guerrero,11,11A
204,Jessica Stephens,9,9C
205,Susan Serrano,11,11B
206,Christopher Parker,10,10B
207,Laura Roberts,8,8D
208,Michael Lyons,8,8D
209,Kathryn Snyder,9,9B
210,Andrew Reynolds,11,11C
211,David Davis,10,10B
212,Sara Johnston,9,9A
213,Yvonne Chambers,9,9D
214,Andrew Avila,10,10C
215,Matthew Moon,8,8C
216,Kevin Walters,10,10E
217,Brandon Bailey MD,11,11E
218,Shannon Rivera,10,10A
219,Donna Landry,8,8C
220,Krista Gibson,9,9E
221,Frank Cordova,10,10A
222,Jose Travis,8,8E
223,Kimberly Gutierrez,11,11C
224,Isaiah Avila,10,10D
225,Olivia Harris,12,12E
226,Tanya Kim,8,8D
227,Barbara Dudley,12,12B
228,Cynthia Moore,10,10A
229,Kristen Davis,11,11A
230,Susan Murray MD,12,12E
231,Kathleen Moran,9,9C
232,Denise Davenport,11,11A
233,Mrs. Kristen Reyes,10,10E
234,Katie Suarez,10,10A
235,Desiree Tyler,10,10E
236,Timothy Romero,10,10D
237,Diane Evans,10,10D
238,Yvonne Burns,10,10E
239,Joshua Reed,9,9B
240,Kimberly Gibson,11,11D
241,Colin Terry,9,9E
242,Cynthia Rowe,12,12C
243,Patrick Thornton,11,11E
244,Jasmin Alvarado,8,8C
245,Veronica Simpson,10,10B
246,Jonathan Lawrence,11,11E
247,Shelly Alexander,12,12C
248,Joyce Bowen,11,11D
249,Matthew Moore,11,11B
250,Wayne Morgan,12,12D
251,Marie Christian,9,9A
252,Shannon James,10,10E
253,Nathan Malone,12,12C
254,Amanda Jones,8,8B
255,Tammie Bright,10,10B
256,Jessica Garcia,9,9B
257,Shelia Wallace,8,8A
258,Stephanie Williams,9,9D
259,Elaine Brooks,12,12A
260,Joseph Knight,11,11D
261,Carolyn Miller,12,12B
262,Lisa Allen,11,11D
263,Briana Murray,11,11B
264,David Smith,9,9A
265,Stephanie Byrd,8,8D
266,Jeremy Reed,9,9B
267,Margaret Coleman,12,12D
268,Ryan Gonzalez,8,8E
269,John Young,9,9A
270,Laura Haney,11,11B
271,William Barrett,11,11E
272,Keith Jennings,12,12E
273,Amber Obrien,10,10D
274,Tanner Mitchell DDS,12,12E
275,Heather Fields,11,11E
276,Megan Le,11,11B
277,Sara Fuller,11,11D
278,Maria Parker,10,10B
279,Kevin Oconnor,10,10E
280,Edward Burgess,11,11B
281,Carlos Ryan,10,10D
282,Kiara Mcintyre,8,8C
283,Dawn Summers,9,9C
284,Dr. Paul Morgan,10,10C
285,Victor Taylor,12,12A
286,Shannon Ramsey,9,9B
287,Tracy Ballard,9,9D
288,Richard Smith,9,9B
289,Jordan Chambers,8,8D
290,Lauren Carson,11,11C
291,Ashley Hall,12,12D
292,Stephen Hoffman,11,11A
293,Connie Brown,9,9D
294,Susan Turner,11,11E
295,Charles Shah,8,8E
296,Johnathan Davis,11,11D
297,Brandy Chavez,8,8C
298,Natalie Bautista,10,10D
299,Patrick Moore,11,11E
300,Brett Burns,12,12E
